lat,lon,pr,tasmin,tasmax
49.041666345,-66.958336295,9.984970749526978e-13,-10.74190009131056,-3.2647857708266708
48.958333015,-67.291669615,9.677448729525362e-13,-9.281367291611915,-2.141548570587794
48.958333015,-67.208336285,9.872977001917915e-13,-9.721251145510834,-2.488878167599365
48.958333015,-67.125002955,1.0141936119048567e-12,-10.114773106510153,-2.851865878402376
48.958333015,-67.041669625,1.0543435699159054e-12,-10.680970082181252,-3.326784291952097
48.958333015,-66.958336295,1.0609647925832744e-12,-10.741900091309951,-3.2647857708258785
48.958333015,-66.875002965,9.81686953949179e-13,-11.010593679262099,-3.46243548638677
48.958333015,-66.791669635,1.0539456677186032e-12,-10.973510045865138,-3.5357990976691873
48.958333015,-66.708336305,9.958977002441638e-13,-10.457203747157557,-3.0063009809720036
48.874999685,-67.541669605,1.0754539619961534e-12,-9.292162756870654,-2.3444800197573654
48.874999685,-67.458336275,1.0772454976659684e-12,-9.367385061755911,-2.4456873841398945
48.874999685,-67.375002945,9.706780735099785e-13,-10.013347792242115,-2.716413824604107
48.874999685,-67.291669615,1.071573710841045e-12,-10.277240157980367,-3.0115324407935375
48.874999685,-67.208336285,1.0458590373949028e-12,-10.64068133604128,-3.344213833265825
48.874999685,-67.125002955,1.0472102785624715e-12,-10.957730333916176,-3.567600627963949
48.874999685,-67.041669625,1.0040099177391348e-12,-11.56011629481816,-3.974262607593718
48.874999685,-66.958336295,1.0607574931278951e-12,-11.670963296840313,-4.06907750268795
48.874999685,-66.875002965,1.0005633474530207e-12,-11.401177161346494,-3.7705172548742887
48.874999685,-66.791669635,1.0720723354201711e-12,-10.962557154622752,-3.367995335193597
48.874999685,-66.708336305,1.0841438424086247e-12,-11.690431573246707,-4.027650780058164
48.874999685,-66.625002975,1.0323888011837257e-12,-13.080342995349913,-5.274465760854262
48.874999685,-66.541669645,1.0442174468855425e-12,-12.985789579637949,-5.132987348418068
48.874999685,-66.458336315,1.0718577718102362e-12,-12.289907794162843,-4.534000402346182
48.791666355,-67.791669595,1.0263951147337913e-12,-9.603126565327415,-2.161290690072474
48.791666355,-67.708336265,1.0255834809874687e-12,-9.815558792418868,-2.3851664295753503
48.791666355,-67.625002935,9.436780783883547e-13,-9.948473987494951,-2.56096953997743
48.791666355,-67.541669605,1.0567733754046627e-12,-10.070661345478467,-2.6346324244298325
48.791666355,-67.458336275,1.034501477537031e-12,-10.680396039663602,-3.1280547838486905
48.791666355,-67.375002945,1.112221968170568e-12,-10.86306701892736,-3.35603288136919
48.791666355,-67.291669615,1.0837736957869382e-12,-11.040809175305968,-3.497326744572362
48.791666355,-67.208336285,1.0224181527448972e-12,-11.111430368795975,-3.5855430458193798
48.791666355,-67.125002955,1.0132257446254789e-12,-11.206096503513903,-3.670280274917383
48.791666355,-67.041669625,1.0260166197553766e-12,-11.22116314734864,-3.6376416654536214
48.791666355,-66.958336295,1.0012877029244582e-12,-11.714414398790302,-4.0923240609471465
48.791666355,-66.875002965,1.009367069093603e-12,-12.646232903605636,-4.795702653132455
48.791666355,-66.791669635,9.827078387147914e-13,-12.583899492975046,-4.736269388008951
48.791666355,-66.708336305,1.0171372208031548e-12,-11.465751994799012,-3.7415191288094585
48.791666355,-66.625002975,1.0090798639381116e-12,-11.532962705892269,-3.8647036467070297
48.791666355,-66.541669645,1.039051657214518e-12,-11.454483747992143,-3.8591506699936966
48.791666355,-66.458336315,1.0667809951375729e-12,-11.495973479344023,-3.87475093977178
48.791666355,-66.375002985,9.739447746556773e-13,-11.393354636851907,-3.734895325358292
48.791666355,-66.291669655,1.0045218780049825e-12,-11.562431380888476,-3.8384703515773104
48.708333025,-68.041669585,9.904454643591687e-13,-9.39276807939039,-2.0371334488950277
48.708333025,-67.958336255,1.005290252084623e-12,-9.903537959257603,-2.4123091557501946
48.708333025,-67.875002925,1.0747909723676785e-12,-10.092558417380637,-2.5588460571980427
48.708333025,-67.791669595,1.1086086475903256e-12,-10.280601460274736,-2.722302575538955
48.708333025,-67.708336265,1.1121298109859068e-12,-10.604113590454114,-3.0035765863459662
48.708333025,-67.625002935,1.0403521577204144e-12,-10.873872985649161,-3.255984353787011
48.708333025,-67.541669605,1.0238011610361197e-12,-11.04201299601593,-3.3777908447102893
48.708333025,-67.458336275,1.0198196453981012e-12,-11.003291542091986,-3.2493498814902777
48.708333025,-67.375002945,1.0328758247996062e-12,-10.934616815237355,-3.0879999516433827
48.708333025,-67.291669615,1.0731958941315178e-12,-11.432736064809522,-3.6721266342415504
48.708333025,-67.208336285,1.0155954853138804e-12,-11.743572100804695,-4.026789408293651
48.708333025,-67.125002955,1.0851379473805767e-12,-11.969025350628275,-4.20475519555796
48.708333025,-67.041669625,1.0400752524855617e-12,-12.20401522996545,-4.391131456826231
48.708333025,-66.958336295,9.64809937671618e-13,-11.9547190743782,-4.187919091501406
48.708333025,-66.875002965,1.0249010841401063e-12,-11.743982558840019,-4.0003638247448245
48.708333025,-66.791669635,1.0783302419395402e-12,-11.692739869097581,-3.9237300610779613
48.708333025,-66.708336305,9.693454806197765e-13,-11.62224630625062,-3.802323823064196
48.708333025,-66.625002975,9.751542021790849e-13,-11.482138728402386,-3.682607540275839
48.708333025,-66.541669645,1.0300986409347845e-12,-11.595817942046276,-3.858054112914326
48.708333025,-66.458336315,9.10309046024682e-13,-11.307823683590755,-3.5768807174381028
48.708333025,-66.375002985,9.267508635502075e-13,-10.968890551033669,-3.125407816761431
48.708333025,-66.291669655,8.624062835388413e-13,-10.628349782336349,-2.633563907299611
48.708333025,-66.208336325,9.626099830434276e-13,-10.516214265090566,-2.477361673149484
48.624999695,-68.291669575,1.035715025028694e-12,-8.910707886413391,-2.073361000186228
48.624999695,-68.208336245,1.0945390644181985e-12,-9.132313018145066,-2.283876572711658
48.624999695,-68.125002915,1.071500852455054e-12,-9.347847446286115,-2.2602823076825267
48.624999695,-68.041669585,1.049115872300832e-12,-9.90674771343216,-2.68358131033433
48.624999695,-67.958336255,1.0422680513794136e-12,-10.593102159868547,-3.113506018435185
48.624999695,-67.875002925,1.0140386794144085e-12,-10.999588964293016,-3.3040174912309954
48.624999695,-67.791669595,1.0460896471969905e-12,-11.095817387959567,-3.261402507699099
48.624999695,-67.708336265,1.0384297588483804e-12,-11.291599552322266,-3.4912957738126194
48.624999695,-67.625002935,1.0200749750097216e-12,-11.159301684883529,-3.361415000393972
48.624999695,-67.541669605,1.0512065393500358e-12,-11.29406281114432,-3.4311524275011482
48.624999695,-67.458336275,1.0414735480274162e-12,-11.624877353819409,-3.611176652212639
48.624999695,-67.375002945,1.0070234576775583e-12,-11.348375439082798,-3.4856681831735443
48.624999695,-67.291669615,1.03804399971541e-12,-11.164582388560977,-3.1144974684330755
48.624999695,-67.208336285,1.0355836197253887e-12,-11.568659547480284,-3.54062773101578
48.624999695,-67.125002955,1.031359459641168e-12,-11.535126252347771,-3.6323839190530283
48.624999695,-67.041669625,9.924073281902812e-13,-11.432036608619903,-3.5137981388644404
48.624999695,-66.958336295,9.876077820131224e-13,-11.499014484360007,-3.6930150682125875
48.624999695,-66.875002965,9.811936419606981e-13,-11.587069098518839,-3.754501501370533
48.624999695,-66.791669635,9.991661361133386e-13,-11.642058073672928,-3.829854982973586
48.624999695,-66.708336305,9.733113837465113e-13,-11.663076239675869,-3.8940140935517213
48.624999695,-66.625002975,9.113701546908937e-13,-11.811878095028842,-4.106488105807917
48.624999695,-66.541669645,9.564771934547633e-13,-11.483069866572324,-3.718208356075741
48.624999695,-66.458336315,9.256463867970965e-13,-11.13615701091699,-3.4024222761022367
48.624999695,-66.375002985,8.764692530777163e-13,-11.015563951200118,-3.277267905236954
48.624999695,-66.291669655,9.252372088972005e-13,-11.223941550513805,-3.428891803453098
48.624999695,-66.208336325,9.156694499856677e-13,-11.27933328315356,-3.4619118341949378
48.624999695,-66.125002995,8.814554988689771e-13,-11.085094139134116,-3.2422753495373335
48.624999695,-66.041669665,9.26963041915363e-13,-11.446141951431585,-3.605458958289291
48.541666365,-68.458336235,9.739939974343081e-13,-8.836503820238951,-1.9235413503436778
48.541666365,-68.375002905,1.0110129964116532e-12,-8.824297341161925,-2.0022899527033555
48.541666365,-68.291669575,1.0484729404125481e-12,-9.228136001989293,-2.3192395784195377
48.541666365,-68.208336245,1.0169683021046816e-12,-9.69354443692377,-2.7273587727558706
48.541666365,-68.125002915,1.0485773490817585e-12,-9.835148307283118,-2.7014553731429674
48.541666365,-68.041669585,1.1146114413385089e-12,-10.530784695030802,-3.177934289217295
48.541666365,-67.958336255,9.976716718387846e-13,-10.858806766574531,-3.3607932836636847
48.541666365,-67.875002925,1.0496302178114592e-12,-11.153338019340884,-3.4305355458935862
48.541666365,-67.791669595,1.0809953192997268e-12,-11.468134049784199,-3.60469791446432
48.541666365,-67.708336265,9.90445572779386e-13,-11.279293364265822,-3.3001193912699778
48.541666365,-67.625002935,1.0365692679203953e-12,-11.212564127032925,-3.2944021714090406
48.541666365,-67.541669605,1.0001855029959095e-12,-11.428652675009948,-3.385648737595652
48.541666365,-67.458336275,1.1389154593380302e-12,-11.549073695991805,-3.599935951645649
48.541666365,-67.375002945,9.846092040646792e-13,-11.863985080112965,-3.8396418779777273
48.541666365,-67.291669615,1.0812199659898658e-12,-11.656863805185512,-3.678091157972702
48.541666365,-67.208336285,9.624035509497864e-13,-11.89721013795059,-3.8157928843533035
48.541666365,-67.125002955,1.054752964656236e-12,-11.919774597822208,-4.007775957895802
48.541666365,-67.041669625,9.889745272717576e-13,-11.935740739702414,-3.9937018674494693
48.541666365,-66.958336295,9.528648486564761e-13,-12.034068488068964,-4.075885739284409
48.541666365,-66.875002965,9.73596962598744e-13,-12.155398400883357,-4.214036927474231
48.541666365,-66.791669635,9.189659666911099e-13,-12.191241544898165,-4.309387516757738
48.541666365,-66.708336305,9.52439082463341e-13,-12.072452998274631,-4.21205419082552
48.541666365,-66.625002975,9.710793367340154e-13,-11.703890796436738,-3.9221452479486363
48.541666365,-66.541669645,9.56347956555803e-13,-11.791465100757025,-4.017494458826653
48.541666365,-66.458336315,9.226010797350193e-13,-11.609955386257107,-3.74796571547464
48.541666365,-66.375002985,9.324266619231691e-13,-11.370599499743628,-3.5105087926934324
48.541666365,-66.291669655,8.715724539656855e-13,-11.461171299933543,-3.5833500763193484
48.541666365,-66.208336325,9.041801053537302e-13,-11.488716495389436,-3.661705973840604
48.541666365,-66.125002995,8.83837599462145e-13,-11.051810425957346,-3.0089603710832
48.458333035,-68.625002895,9.575020897684139e-13,-8.875214370904256,-1.93054535845053
48.458333035,-68.541669565,9.310980805810054e-13,-8.840735813208806,-2.0139383824477344
48.458333035,-68.458336235,1.0146545062483803e-12,-9.240859555651914,-2.356129206688757
48.458333035,-68.375002905,1.026182069006898e-12,-9.60159915365024,-2.70440624035169
48.458333035,-68.291669575,1.014705030069618e-12,-9.909088432776844,-2.96243736683115
48.458333035,-68.208336245,1.017997101546153e-12,-10.765767295001906,-3.690337620598676
48.458333035,-68.125002915,1.0445728483576833e-12,-10.601681052074575,-3.5471012380031226
48.458333035,-68.041669585,1.0780411936403556e-12,-10.480525162622634,-3.2007836938421104
48.458333035,-67.958336255,1.0641913782485912e-12,-10.828963480092058,-3.389869582219707
48.458333035,-67.875002925,1.0925189789304235e-12,-11.424809106569924,-3.8119051468121157
48.458333035,-67.791669595,1.044357200545576e-12,-12.264315538926208,-4.758368213232785
48.458333035,-67.708336265,1.0671490817751317e-12,-12.274554116402328,-4.483040686505825
48.458333035,-67.625002935,1.0847270347572047e-12,-12.226818276396731,-4.20240604774216
48.458333035,-67.541669605,1.0434941756162774e-12,-12.217740249552655,-4.125962559020419
48.458333035,-67.458336275,9.975045962840046e-13,-11.397338555890592,-3.421421370744847
48.458333035,-67.375002945,1.0500631397389326e-12,-11.647808333711636,-3.6558851696655683
48.458333035,-67.291669615,9.855699156097186e-13,-12.013699581783168,-3.9824871171999074
48.458333035,-67.208336285,9.131184306940265e-13,-12.03991803989808,-3.8863238238627194
48.458333035,-67.125002955,9.743448452573245e-13,-12.062270643364553,-3.9416094783415794
48.458333035,-67.041669625,9.187455483894436e-13,-12.1075173032268,-4.012797934938555
48.458333035,-66.958336295,9.115584806082544e-13,-12.183589757149374,-4.102283273175982
48.458333035,-66.875002965,9.656098620344777e-13,-12.071369080237762,-4.090664782847124
48.458333035,-66.791669635,8.87130104619549e-13,-12.151618668700852,-4.107753951883271
48.458333035,-66.708336305,8.708148134875526e-13,-12.116038226753858,-4.278956353101147
48.458333035,-66.625002975,8.927340203884748e-13,-11.744473798964412,-3.986317485581779
48.458333035,-66.541669645,9.087100104505919e-13,-11.75811341400277,-3.929588307941075
48.458333035,-66.458336315,8.821477619561091e-13,-12.06789717254301,-4.210967073386016
48.374999705,-68.875002885,1.0001974292198068e-12,-8.934289570054478,-2.067857385386305
48.374999705,-68.791669555,9.224769385862697e-13,-9.216204279709832,-2.2511828791337063
48.374999705,-68.708336225,9.376834161564651e-13,-9.282109246179331,-2.434836989459863
48.374999705,-68.625002895,9.558701486583887e-13,-9.765837960227344,-2.826558026752198
48.374999705,-68.541669565,1.0337206351324069e-12,-9.569194770348506,-2.6096042884190513
48.374999705,-68.458336235,1.0050946620127066e-12,-10.004782083485518,-2.888230478781055
48.374999705,-68.375002905,9.97803619243176e-13,-10.259570779982447,-3.1050398141481264
48.374999705,-68.291669575,9.771405689792956e-13,-10.620981374518042,-3.4140226904410236
48.374999705,-68.208336245,1.024359199894298e-12,-10.861371832714683,-3.6011699995464337
48.374999705,-68.125002915,1.0677150353091691e-12,-11.179985389756567,-3.9044720928623278
48.374999705,-68.041669585,1.0477006632050867e-12,-10.826373074363698,-3.426013812580454
48.374999705,-67.958336255,1.0042755472713938e-12,-11.120909277457672,-3.4458368571331395
48.374999705,-67.875002925,1.0123345304396958e-12,-11.675205297476483,-4.086872057028497
48.374999705,-67.791669595,1.000843505294391e-12,-12.44379937676289,-4.890138385563441
48.374999705,-67.708336265,1.0589006884872965e-12,-12.348388371077128,-4.635087644029953
48.374999705,-67.625002935,1.0430531221725103e-12,-11.806119286544178,-3.6857639609117108
48.374999705,-67.541669605,1.0630659763935513e-12,-11.846216915781195,-3.7526376009550013
48.374999705,-67.458336275,1.003453396763998e-12,-11.721103632870616,-3.667526009136859
48.374999705,-67.375002945,9.297069407734893e-13,-11.882894914280836,-3.7485292141086486
48.374999705,-67.291669615,9.218258751816921e-13,-11.57348367963072,-3.4823632166611294
48.374999705,-67.208336285,9.591280677664904e-13,-11.743061669889524,-3.5304025762490028
48.374999705,-67.125002955,9.049082555327714e-13,-11.933894794522633,-3.7047967217238353
48.374999705,-67.041669625,8.467266601405732e-13,-12.174799637482863,-3.9372017161046813
48.374999705,-66.958336295,9.473671847004539e-13,-12.361750051520627,-4.392828694989777
48.374999705,-66.875002965,9.153482008819602e-13,-12.234917511456402,-4.232515092918328
48.374999705,-66.791669635,8.895943877373913e-13,-12.039263077051551,-4.032601114116794
48.291666375,-69.041669545,8.786067576607715e-13,-8.948426731898255,-2.238959503513244
48.291666375,-68.958336215,9.002489509066236e-13,-9.485950158147357,-2.6388466783304763
48.291666375,-68.875002885,9.442767748280012e-13,-9.788270627789457,-2.8790306427622356
48.291666375,-68.791669555,9.612415030613164e-13,-9.87767701145685,-2.9121414016794853
48.291666375,-68.708336225,9.52121085966151e-13,-10.157288644511066,-3.062098515702804
48.291666375,-68.625002895,9.722677307352767e-13,-10.14651005388342,-3.009989804848278
48.291666375,-68.541669565,9.316316164700855e-13,-9.981641777281382,-2.814916400285931
48.291666375,-68.458336235,1.0229732642572098e-12,-10.258638655355906,-3.122438325036658
48.291666375,-68.375002905,1.0017017597341304e-12,-10.692134587864162,-3.441896079562432
48.291666375,-68.291669575,1.0593748100973244e-12,-11.260349741099892,-3.816412477881541
48.291666375,-68.208336245,1.045418092371353e-12,-11.184162554031074,-3.6684470435880243
48.291666375,-68.125002915,1.0402440627638176e-12,-11.524186310999205,-4.02201493865828
48.291666375,-68.041669585,1.0293502161751178e-12,-11.385349604896323,-3.9345908331397785
48.291666375,-67.958336255,9.852876977842207e-13,-11.883692043186866,-4.342414529615899
48.291666375,-67.875002925,1.002256871246443e-12,-11.93873330350597,-4.234320691180242
48.291666375,-67.791669595,1.0170189343461367e-12,-12.020308957880143,-4.094512573421069
48.291666375,-67.708336265,1.0239516482976607e-12,-12.272647688379038,-4.345462329019679
48.291666375,-67.625002935,9.436591048503362e-13,-12.10682227524903,-4.063509112552613
48.291666375,-67.541669605,9.998946115530316e-13,-11.793089729009791,-3.6593727015618667
48.291666375,-67.458336275,9.027423448527971e-13,-11.913242538483594,-3.7787093208672724
48.291666375,-67.375002945,9.462568532556115e-13,-11.824380870142653,-3.7525230612086418
48.291666375,-67.291669615,8.75874568186108e-13,-11.80345546276978,-3.7193404313254605
48.291666375,-67.208336285,9.685507604273447e-13,-11.645123396872977,-3.518188746730238
48.291666375,-67.125002955,9.659499762559864e-13,-12.126634150810926,-4.02279279712936
48.291666375,-67.041669625,9.95458056263221e-13,-12.05305821912961,-3.921218819187068
48.208333045,-69.125002875,4.0813335241800253e-13,-9.09913252421688,-2.6426687906204043
48.208333045,-69.041669545,4.716995565846871e-13,-9.876920755603624,-3.0486142611676605
48.208333045,-68.958336215,4.868015712755636e-13,-10.349919726972333,-3.3664975736100438
48.208333045,-68.875002885,5.097492523573055e-13,-10.9459655408169,-3.9745253385361714
48.208333045,-68.791669555,4.891045793202486e-13,-11.058703476872907,-3.9262137774514274
48.208333045,-68.708336225,5.364513629320389e-13,-10.896051898991205,-3.7356136458339524
48.208333045,-68.625002895,4.70156628473023e-13,-10.790631322739662,-3.526856486263723
48.208333045,-68.541669565,5.448779448469221e-13,-10.583354947480101,-3.312874283600765
48.208333045,-68.458336235,4.940887109172731e-13,-10.795209301799286,-3.3846541588155903
48.208333045,-68.375002905,5.070538173362893e-13,-11.850883559289779,-4.3065772771170385
48.208333045,-68.291669575,5.187862943054067e-13,-12.056910753855693,-4.443256854823368
48.208333045,-68.208336245,5.479951345130352e-13,-11.662783124785424,-4.031507263710505
48.208333045,-68.125002915,5.263545133603331e-13,-12.003165037570929,-4.220874879054664
48.208333045,-68.041669585,5.187203748133196e-13,-12.021348567217352,-4.181587038475703
48.208333045,-67.958336255,5.148573624727537e-13,-12.478330033726163,-4.644912791450752
48.208333045,-67.875002925,5.131452446120732e-13,-12.535702430624095,-4.5132942994317995
48.208333045,-67.791669595,5.199056788383893e-13,-12.605072536475568,-4.552754506343257
48.208333045,-67.708336265,5.074285718172089e-13,-12.246497503421486,-4.16749338775066
48.208333045,-67.625002935,4.465085527878554e-13,-12.557824059774264,-4.47492893259933
48.208333045,-67.541669605,4.550813935758069e-13,-12.251125539669689,-4.242883539993425
48.208333045,-67.458336275,4.951249913537348e-13,-11.951163187545697,-3.9325671189506464
48.208333045,-67.375002945,4.858179288545761e-13,-12.053482278880544,-4.021848810722326
48.208333045,-67.291669615,4.869422465074436e-13,-11.932394251776659,-3.9327660538676614
48.208333045,-67.208336285,4.824891571345025e-13,-11.668467679580708,-3.689645304704565
48.208333045,-67.125002955,4.754617923333204e-13,-11.90791840120528,-3.9991093105673627
48.208333045,-67.041669625,4.4026235565194916e-13,-12.025146518581588,-3.995309990382803
